"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,471.093,,
"AUT","Austria","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,508.021,,
"AUT","Austria","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,516.682,,
"AUT","Austria","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,494.462,,
"AUT","Austria","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,510.108,,
"AUT","Austria","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,501.479,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,492.755,,
"BEL","Belgium","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,524.602,,
"BEL","Belgium","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,520.081,,
"BEL","Belgium","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,508.935,,
"BEL","Belgium","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,506.82,,
"BEL","Belgium","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,502.9,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,473.983,,
"CZE","Czech Republic","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,512.79,,
"CZE","Czech Republic","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,504.71,,
"CZE","Czech Republic","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,492.903,,
"CZE","Czech Republic","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,508.721,,
"CZE","Czech Republic","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,507.855,,
"DNK","Denmark","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,480.89,,
"DNK","Denmark","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,511.529,,
"DNK","Denmark","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,506.953,,
"DNK","Denmark","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,493.029,,
"DNK","Denmark","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,503.533,,
"DNK","Denmark","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,493.363,,
"FIN","Finland","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,494.006,,
"FIN","Finland","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,555.708,,
"FIN","Finland","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,517.391,,
"FIN","Finland","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,520.185,,
"FIN","Finland","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,537.436,,
"FIN","Finland","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,553.893,,
"FRA","France","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,482.972,,
"FRA","France","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,526.765,,
"FRA","France","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,499.355,,
"FRA","France","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,490.853,,
"FRA","France","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,497.716,,
"FRA","France","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,500.157,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,486,,
"DEU","Germany","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,530.119,,
"DEU","Germany","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,520.19,,
"DEU","Germany","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,506.625,,
"DEU","Germany","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,523.86,,
"DEU","Germany","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,524.391,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,451.718,,
"GRC","Greece","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,502.198,,
"GRC","Greece","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,457.039,,
"GRC","Greece","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,448.984,,
"GRC","Greece","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,460.02,,
"GRC","Greece","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,473.298,,
"HUN","Hungary","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,467.964,,
"HUN","Hungary","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,507.549,,
"HUN","Hungary","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,481.749,,
"HUN","Hungary","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,472.664,,
"HUN","Hungary","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,495.913,,
"HUN","Hungary","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,492.803,,
"ISL","Iceland","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,457.275,,
"ISL","Iceland","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,508.39,,
"ISL","Iceland","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,489.72,,
"ISL","Iceland","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,495.947,,
